,,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2000
Investment Return:,,7.35%,9.02%,-16.28%,97.68%,-31.84%,4.82%,20.32%,15.65%,9.08%,-13.93%,0,0,0,0,,,,,,,,,,
Dividend Yield +,,1.24%,1.24%,1.71%,1.29%,1.58%,1.83%,2.09%,1.84%,2.03%,2.11%,,,,,,,,,,,,,,
Earnings Growth Rate,,6.11%,7.78%,-17.99%,96.39%,-33.42%,2.99%,18.23%,13.81%,7.05%,-16.04%,,,,,,,,,,,,,,
Plus,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Speculative Return:,,,,,,,,,,,,,,,,,,,,,,,,,
Impact of P/E Change (% change in P/E annualized),,,,,,,,,,,,,,,,,,,,,,,,,
Equals,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Market Return:,,,,,,,,,,,,,,,,,,,,,,,,,
S&P 500,,,,,,,,,,,,,,,,,,,,,,,,,
P/E,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Average of,,,,,,,,,,,,,,,,,,,,,,,,,
Investment Return:,,,,,,,,,,,,,,,,,,,,,,,,,
Speculative Return:,,,,,,,,,,,,,,,,,,,,,,,,,
Market Return:,,,,,,,,,,,,,,,,,,,,,,,,,
P/E:,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions and Citations:,,,,,,,,,,,,,,,,,,,,,,,,,
EGR*,,,,,,,,,,,,,,,,,,,,,,,,,
"S&P 500 real earnings growth rate per year. Annual percentage change in 12 month S&P 500 Real Earnings Per Share (inflation adjusted).
Source: Standard & Poor’s",,,,,,,,,,,,,,,,,,,,,,,,,
P/E*,,,,,,,,,,,,,,,,,,,,,,,,,
"Price to earnings ratio, based on trailing twelve month “as reported” earnings.

Current PE is estimated from latest reported earnings and current market price.

Source: Robert Shiller and his book Irrational Exuberance for historic S&P 500 PE Ratio.",,,,,,,,,,,,,,,,,,,,,,,,,
Dividend Yield*,,,,,,,,,,,,,,,,,,,,,,,,,
"S&P 500 dividend yield — (12 month dividend per share)/price.

Yields following December 2024 (including the current yield) are estimated based on 12 month dividends through December 2024, as reported by S&P.

Sources:
Standard & Poor’s for current S&P 500 Dividend Yield.
Robert Shiller and his book Irrational Exuberance for historic S&P 500 Dividend Yields.",,,,,,,,,,,,,,,,,,,,,,,,,